"p" "q" "ps" "di" "pf"
"1" 29.64 19.89 19.97 2.103 10.52
"2" 40.23 13.04 18.04 2.043 19.67
"3" 34.71 19.61 22.36 1.87 13.74
"4" 41.43 17.13 20.87 1.525 17.95
"5" 53.37 22.55 19.79 2.709 13.71
"6" 38.52 6.37 15.98 2.489 24.95
"7" 54.33 15.02 17.94 2.294 24.17
"8" 40.56 10.22 17.09 2.196 23.61
"9" 67.35 23.64 22.72 3.885 19.52
"10" 49.65 16.12 15.74 3.169 20.03
"11" 58.17 24.55 24.64 2.623 15.38
"12" 66.87 18.92 23.7 3.007 22.98
"13" 49.95 11.94 15.93 3.367 25.76
"14" 64.95 18.93 23.34 3.29 25.17
"15" 52.68 12.6 15.21 3.746 25.82
"16" 61.2 20.49 26.04 3.518 19.31
"17" 80.55 22.94 22.95 4.381 26.02
"18" 89.94 21.08 27.1 4.121 29.65
"19" 70.77 16.68 23.65 3.82 27.45
"20" 57.33 17.61 20.06 4.398 18
"21" 46.23 16.62 26.38 3.764 18.87
"22" 77.43 20.99 24.28 4.524 24.58
"23" 83.01 24.53 26.64 4.815 25.25
"24" 70.71 19.67 22.65 3.67 24.24
"25" 66.75 23.29 19.68 4.392 22.63
"26" 76.8 16.64 23.82 4.603 27.35
"27" 83.7 20.81 28.98 4.632 27.8
"28" 81 14.95 18.52 4.894 30.34
"29" 88.44 26.27 28.16 5.125 24.12
"30" 105.45 20.65 28.43 4.836 34.01
